source,target,category,notes,example_source,example_wrong,example_correct
ヒラヒラ,하늘하늘,의성어,"옷감이나 천이 가볍게 흔들리는 모양을 나타낸다. 문맥상 마タニ티 드레스의 가볍고 부드러운 느낌을 살려 '하늘하늘한', '살랑거리는' 등으로 의역하는 것이 소설적 표현으로 적절하다. 단순히 '펄럭펄럭'이라고 하면 다소 거친 느낌을 줄 수 있으므로 주의해야 한다.",「妊婦！　って感じの、それでいて可愛い衣装を用意しました！　良いでしょ、この薄ピンクでヒラヒラな、マタニティドレス！」,"좋죠, 이 연분홍색의 히라히라한 마タニ티 드레스!","좋죠, 이 연분홍색의 하늘하늘한 마タニ티 드레스!"
アワアワ,"허둥지둥, 허겁지겁, 어쩔 줄 몰라 하며",의성어,"당황하여 어찌할 바를 모르거나, 흥분해서 정신없이 행동하는 모양을 나타낸다. 문맥상 어머니가 갑작스러운 상황에 당황하면서도 기쁨을 감추지 못해 몸짓이 분주해진 상태이므로, 단순히 '허둥지둥'이라고 하기보다 '어쩔 줄 몰라 하며' 또는 '정신없이'와 같이 인물의 심리 상태가 드러나도록 의역하는 것이 자연스럽다.",榊にお姫様抱っこされ、アワアワしながらも嬉しそうな母。,사카키에게 공주님 안기를 당하며 아와아와하면서도 기뻐 보이는 어머니.,"사카키가 공주님 안기를 하자, 어머니는 어쩔 줄 몰라 당황하면서도 무척 기쁜 기색이었다."
パコパコ,"퍽퍽, 팍팍, 찔러대다",의성어,"성적인 행위 시 발생하는 격렬한 피스톤 운동을 나타내는 의성어이다. 소설의 문맥과 수위에 따라 '퍽퍽'과 같은 강한 타격음으로 번역하거나, 동작을 강조하기 위해 '찔러대다', '박아대다'와 같이 동사형으로 의역하는 것이 자연스럽다. 단순히 소리만을 묘사하는 것에 그치지 말고 행위의 역동성을 살려야 한다.",『気持ち良いですか？　他人のちんぽをオマンコにパコパコ挿れられて！』,다른 사람의 자지를 보지에 파코파코 삽입당하고 있어서 기분 좋나요?,“기분 좋아? 남의 자지를 보지에 퍽퍽 박히는데도 말이야!”
ビュービュー,"뿜어져 나오는, 뿜뿜, 콸콸",의성어,"액체가 강한 압력으로 빠르게 분출되는 모양을 나타낸다. 소설적 문맥에서는 단순히 소리를 묘사하기보다 사정의 양상이나 속도감을 살려 '뿜어져 나오다', '거침없이 쏟아지다'와 같이 동사형으로 의역하거나, 분출되는 느낌을 강조하는 부사로 처리하는 것이 자연스럽다. '뷰뷰'와 같은 기계적인 음성 상징어 직역은 피해야 한다.",その刺激と、画面の奥の『刺激』にビュービューと射精は続く。,그 자극과 화면 너머의 『자극』에 뷰뷰하고 사정은 계속된다.,"그 자극과 화면 너머의 『자극』에 이끌려, 정액은 뿜어져 나오듯 끊임없이 사정되었다."
ヌチョヌチョ,질척질척,의성어,"액체가 섞여 끈적이고 축축한 상태를 나타내는 표현이다. 소설적 문맥에서는 단순히 상태를 설명하기보다 '질척질척하게 젖어 있었다'나 '질척거렸다'와 같이 동사형으로 풀어서 쓰거나, 상황의 불쾌함을 강조할 수 있도록 자연스러운 형용사/부사 형태로 의역하는 것이 좋다. '누쵸누쵸'와 같은 일본어 발음을 그대로 옮기는 것은 피해야 한다.",下着の中は暴発した精液でヌチョヌチョになり、気持ち悪かった。,속옷 안은 폭발한 정액으로 누쵸누쵸가 되어 기분 나빴다.,속옷 안은 터져 나온 정액으로 질척질척하게 젖어 있어 기분이 불쾌했다.
グッタリ,"축 늘어져, 기진맥진하여",의성어,"기운이 다 빠져 몸에 힘이 없는 상태를 나타낸다. 문맥에 따라 '축 늘어져', '기진맥진하여', '맥없이' 등으로 의역하여 인물의 무력한 상태를 소설적으로 표현해야 한다. 단순히 '구타리하게'와 같이 음차하거나 '지쳐서'라고만 하기에는 인물의 처절한 상태가 부족할 수 있다.",グッタリと、ベッドに寝かされた母は、仰向けのまま、天井を見つめて何も答えない。,구타리하게 침대에 눕혀진 어머니는 천장을 바라보았다.,"축 늘어진 채 침대에 눕혀진 어머니는, 천장을 바라본 채 아무런 대답도 하지 않았다."
エロエロ,"야릇한, 선정적인, 질척하게 젖은",의성어,"단순히 '야한'이라는 의미를 넘어, 성적인 흥분이 고조되어 있거나 육체적으로 매우 관능적인 상태를 나타낸다. 소설의 문맥에 따라 '야릇한'으로 분위기를 살리거나, 상황이 노골적이라면 '질척하게 젖은' 혹은 '음란한' 등으로 의역하여 문장의 관능미를 극대화해야 한다. '에로에로'라는 발음을 그대로 옮기는 것은 피해야 한다.",「それじゃあ、奥さんのエロエロ熟女マンコに挿入するからね」,"「그럼, 부인의 에로에로한 숙녀 보지에 삽입할게.」","「그럼, 부인의 야릇하게 젖은 숙녀 보지에 삽입할게.」"
スケスケ,"비치는, 속이 다 들여다보이는",의성어,"옷감이 얇아 몸이나 속옷이 비쳐 보이는 상태를 나타낸다. 소설적 문맥에서는 단순히 '투명하다'는 표현보다는 '비치는', '속이 다 비치는', '살결이 비치는' 등 상황의 관능미나 시각적 묘사를 살려 자연스럽게 의역해야 한다.",ベッドの上には、先程とは違う、黒いスケスケの――ベビードールというやつに着替えた母と、ボクサーブリーフだけになった榊がいた。,침대 위에는 스케스케한 검은색 베이비돌을 입은 엄마가 있었다.,"침대 위에는 아까와는 다른, 검은색의 속이 훤히 비치는――베이비돌이라는 옷으로 갈아입은 어머니와, 복서 브리프 차림이 된 사카키가 있었다."
ビチョビチョ,"흠뻑, 축축하게, 질척하게",의성어,"액체에 완전히 젖어 있는 상태를 나타낸다. 문맥상 성적인 상황이나 신체 부위의 젖은 상태를 묘사하므로, 단순히 '흠뻑'이라고 하기보다는 '질척하게 젖어 있다'거나 '축축하게 젖었다'는 식으로 상황의 농밀함이 느껴지도록 의역하는 것이 자연스럽다.",「ビチョビチョでグチョグチョですよ、奥さん……旦那さんとする時も、こんなに濡れ濡れなの？」,"비쵸비쵸하게 젖어 있어요, 부인…….","완전히 질척하게 젖어 있잖아요, 부인…… 남편분과 할 때도 이렇게나 흠뻑 젖나요?"
ウキウキ,"들뜬 마음으로, 신이 나서, 싱글벙글하며",의성어,"기분이 좋아 어쩔 줄 모르거나 기대감에 부풀어 있는 상태를 나타낸다. 문맥에 따라 '들떠서', '신이 나서' 등으로 의역하며, 인물의 동작이나 표정을 묘사할 때 자연스럽게 녹여내야 한다. 단순히 '우키우키하며'라고 음차하는 것은 피해야 한다.",ウキウキとしながら橘が身を乗り出す。,우키우키하면서 타치바나가 몸을 내민다.,타치바나는 잔뜩 들뜬 채 몸을 앞으로 내밀었다.
ビュビュ,"퓨슉퓨슉, 뿜어져, 울컥울컥",의성어,"액체가 강한 압력으로 뿜어져 나오는 소리를 나타낸다. 소설의 문맥과 상황에 따라 '퓨슉퓨슉'과 같은 파열음 계열이나, 액체의 양과 속도감을 살린 '울컥울컥', '뿜어져' 등의 동사적 표현을 사용하여 자연스럽게 의역해야 한다. 단순히 소리만 옮기기보다 액체가 흩뿌려지는 역동적인 느낌을 살리는 것이 중요하다.",ビュビュ、と精液が飛び散る。,"비유비유, 하고 정액이 흩뿌려진다.",정액이 퓨슉퓨슉 소리를 내며 사방으로 튀었다.
グチャグチャ,"엉망진창, 엉망, 엉망이 된",의성어,"액체(정액, 눈물, 콧물)가 뒤섞여 형체를 알아보기 힘들 정도로 지저분해진 상태를 나타낸다. 문맥상 단순히 '뒤섞였다'는 의미를 넘어, 얼굴이 눈물과 콧물, 정액으로 인해 처참하게 망가진 모습을 묘사하므로 '엉망진창이었다', '엉망이 되어 있었다'와 같이 상태를 강조하는 표현으로 의역하는 것이 자연스럽다.",榊に後ろ髪を掴まれ、上げさせられたその顔は酷いもので、口から精液をこぼしながら、涙と鼻水でグチャグチャだった。,입에서 정액을 흘리며 눈물과 콧물로 구차구차했다.,입가로 정액을 흘리는 그 얼굴은 눈물과 콧물로 범벅이 되어 엉망진창이었다.
ケホケホ,콜록콜록,의성어,"목이 메거나 가래가 걸려 기침을 하는 모양을 나타낸다. 문맥상 어머니가 아버지의 신체 부위 근처에서 무언가(냄새나 자극 등)로 인해 숨이 막히거나 기침을 하는 상황이므로, 한국어 소설 표현에서 가장 자연스러운 '콜록콜록' 혹은 '컥컥' 등으로 의역하는 것이 좋다. 단순히 소리 자체를 옮기기보다 동작의 느낌을 살려야 한다.",そんな父の股間で、母はケホケホとむせている。,"그런 아버지의 가랑이 사이에서, 어머니는 케호케호 하고 사레들려 있다.","그런 아버지의 가랑이 사이에서, 어머니는 콜록거리며 기침을 내뱉고 있었다."
ガクガク,"덜덜, 파르르, 사시나무 떨듯",의성어,"신체적인 경련이나 공포, 혹은 생리적인 현상으로 인해 몸이 심하게 떨리는 모양을 나타낸다. 문맥상 실금(失禁)과 함께 쓰였으므로, 단순히 떨리는 것을 넘어 통제력을 잃고 몸이 격하게 흔들리는 느낌을 살려 '덜덜 떨다', '사시나무 떨듯 떨다' 등으로 상황에 맞게 의역해야 한다. '가쿠가쿠'라는 발음을 그대로 옮기는 것은 피해야 한다.",思わず凝視すると、母は失禁しながらガクガクと震えていた。,"나도 모르게 응시하자, 어머니는 실금하며 가쿠가쿠 떨고 있었다.","나도 모르게 응시하자, 어머니는 실금을 하며 몸을 덜덜 떨고 있었다."
テラテラ,"번들번들, 번들거리는",의성어,"액체나 기름기 등으로 인해 표면이 매끄럽고 빛나는 모양을 나타낸다. 소설적 문맥에서는 단순히 상태를 설명하기보다 '번들거리는 모습이 보였다' 혹은 '번들번들하게 빛났다'처럼 대상의 상태를 묘사하는 형용사적 표현으로 자연스럽게 의역해야 한다. 상황의 선정성이나 분위기에 따라 '번들거리는', '번들번들한' 등으로 변주할 수 있다.",抵抗しようとするも、手で呆気なく抑え込まれる母。開かれた両足の間のそこは、たしかにテラテラと光って見えた。,벌려진 양다리 사이 그곳은 확실히 테라테라하게 빛나 보였다.,벌려진 양다리 사이 그곳은 분명 번들거리며 빛나 보였다.
ヒィヒィ,"헉헉, 히익히익",의성어,"숨이 가빠서 내는 거친 숨소리나 고통 혹은 쾌락으로 인해 몰아쉬는 신음 소리를 나타낸다. 문맥에 따라 '헉헉대며', '헐떡이며', 혹은 비명 섞인 신음인 '히익히익' 등으로 상황에 맞춰 자연스럽게 의역해야 한다. 단순히 소리 자체를 나열하기보다 인물의 상태를 묘사하는 부사적 표현으로 다듬는 것이 소설적이다.",「そんじゃ、ヒィヒィ良い声で啼いてくれよ？」,"'그럼, 히익히익 좋은 목소리로 울어줘?'","'그럼, 헉헉대며 기분 좋은 목소리로 울어줘야겠지?'"
ボコボコ,"엉망진창으로, 만신창이가 되도록, 사정없이",의성어,"상대방에게 일방적으로 두들겨 맞아 몸 상태가 매우 나빠진 상황을 나타낸다. 소설적 문맥에서는 단순히 '두들겨 맞다'라는 표현을 넘어, '엉망진창이 되었다'거나 '만신창이가 되었다'와 같이 피해의 정도를 강조하는 표현으로 의역하는 것이 자연스럽다. 상황에 따라 '사정없이 얻어맞아' 등으로 변주할 수 있다.",夏休み。友人達と青春を謳歌しようと、気軽にナンパし、ノッてきた女とホテルに行った。情事を終え、そのホテルから出ようとしたら黒服の男にボコボコにされ――。,검은 옷을 입은 남자에게 보코보코하게 맞았다.,검은 옷을 입은 남자에게 얻어맞아 만신창이가 되었다.
カチカチ,딱딱하게,의성어,"단단하게 굳은 상태를 나타내는 표현이다. 문맥상 성적인 흥분으로 인해 신체 부위가 발기된 상태를 묘사하므로, 단순히 '딱딱하다'는 사전적 의미를 넘어 '딱딱하게 부풀어 오른', '단단해진' 등 상황의 긴장감과 관능미를 살려 의역하는 것이 자연스럽다.",義母も僕のパジャマとパンツの中に手を入れて、既にカチカチになっているイチモツを握り出す。,"의붓어머니도 내 파자마와 팬티 속에 손을 넣어, 이미 카치카치해져 있는 물건을 쥐기 시작한다.","의붓어머니도 내 잠옷과 팬티 속으로 손을 밀어 넣어, 이미 딱딱하게 발기한 물건을 움켜쥐었다."
ジュルジュル,"츄릅츄릅, 츕츕, 질척질척",의성어,"액체가 섞인 상태에서 무언가를 강하게 빨아들이거나 핥을 때 나는 젖은 마찰음을 나타낸다. 소설적 문맥에서는 단순히 소리를 나열하기보다 '츄릅거리며', '질척하게' 등 동사나 형용사 형태로 변주하여 상황의 농밀함을 살리는 것이 자연스럽다. 기계적으로 '쥬루쥬루'라고 음차하는 것은 피해야 한다.",ジュル〜ジュルジュル〜！「ア、ア〜ン！タケシくんそんなに舐めちゃあ〜！！」,"쥬루쥬루! ""아, 아앙! 타케시 군 그렇게 쥬루쥬루하면 안 돼!!""","츄릅, 츄르릅! ""아, 아앙! 타케시 군, 그렇게 질척하게 핥으면 안 돼!!"""
ヒクヒク,"실룩실룩, 움찔움찔, 파르르",의성어,"근육이나 신체 부위가 경련하듯 반복적으로 움직이는 모양을 나타낸다. 문맥상 질 내부 근육이 수축하며 압박을 가하는 상황이므로, 단순히 움직임을 묘사하기보다 '움찔거리며', '실룩이며'와 같이 동사형으로 풀어내거나 근육의 떨림을 강조하는 표현을 사용하여 성적인 긴장감과 생동감을 살려 의역해야 한다.",何と義母が時折ヒクヒクさせる膣内の圧迫によって、僕のナニは段々と膨張して,"시어머니가 때때로 히쿠히쿠하게 만드는 질 내의 압박에 의해, 나의 것은 점점 팽창해서","시어머니가 이따금 움찔거리며 조여오는 질 내부의 압박에, 내 물건은 점점 부풀어 올라"
ムクムク,"불쑥, 빳빳하게",의성어,"무언가 안에서 솟아오르거나 부풀어 오르는 모양을 나타낸다. 성적인 맥락에서는 발기하는 상황을 묘사하므로, 단순히 '부풀다'라는 표현보다는 신체 부위의 변화를 생생하게 전달할 수 있도록 '불쑥', '빳빳하게', '툭 불거져 나왔다' 등의 표현을 사용하여 소설적 긴장감을 살려 의역해야 한다.",僕は布団に入って義母との交わりを思い出したが、途端にナニがムクムク。,"나는 이불 속에 들어가 계모와의 교제를 떠올렸지만, 곧바로 그것이 무쿠무쿠해졌다.","나는 이불 속으로 들어가 계모와 나누었던 정사를 떠올렸고, 그 순간 아래가 불쑥 빳빳하게 고개를 들었다."
ワクワク,두근두근,의성어,"기대감이나 설렘으로 인해 마음이 진동하는 상태를 나타낸다. 문맥상 잠자리에 들어서도 기대감 때문에 가슴이 두근거리는 상황이므로, 단순히 '들뜨다'라고 하기보다는 심장 박동이 느껴지는 듯한 '두근두근' 혹은 '설레는 마음' 등으로 의역하여 인물의 감정선을 살려야 한다.",就寝となって布団に入ってもワクワク。。。何か１回目よりも凄くうれしさが,잠자리에 들어 이불 속에 들어가도 와쿠와쿠。。。 무언가 첫 번째보다 훨씬 기쁨이,잠자리에 들어 이불 속에 누워도 가슴이 두근거렸다... 무언가 첫 번째 때보다 훨씬 더 큰 기쁨이...
ズブズブ,"푹, 푹, 혹은 꾸역꾸역",의성어,"무언가 저항이 있는 곳을 깊숙이 파고들거나, 점성이 있는 곳으로 밀려 들어가는 모양을 나타낸다. 소설적 문맥에서는 삽입의 깊이감과 질감을 살리기 위해 '푹푹', '깊숙이', '꾸역꾸역' 등 상황에 맞는 동사적 표현이나 부사를 사용하여 문장 전체의 흐름을 자연스럽게 만들어야 한다. 단순히 소리만을 묘사하는 것이 아니라 침투하는 느낌을 강조해야 한다.",そのまま押し込んだらズブズブと義母の膣内に。,그대로 밀어 넣었더니 즈부즈부와 의모의 질 내로.,"그대로 밀어 넣자, 의모의 질 안으로 푹, 푹 파고들었다."
ユックリ,"천천히, 느긋하게",의성어,"문맥에 따라 '천천히' 혹은 '느릿느릿' 등으로 번역한다. 상대방의 상태(젖어 있지 않음)를 고려하여 서두르지 않고 여유 있게 행동하겠다는 의도가 담겨 있으므로, 상황의 호흡을 조절하는 부사로 자연스럽게 의역해야 한다. 단순히 속도만을 의미하는 것이 아니라 분위기를 조성하는 느낌을 살리는 것이 중요하다.",「あの。。。濡れていないからユックリとね。」,“저기... 젖어 있지 않으니까 유쿠리 하게 말이야.”,"“저기... 젖어 있지 않으니까, 천천히 하자.”"
コッソリ,"몰래, 남몰래, 은밀하게",의성어,"남의 눈을 피해 비밀스럽게 행동하는 모양을 나타낸다. 소설적 문맥에서는 단순히 '몰래'라고 하기보다, 주인공의 내밀한 욕망이나 부끄러운 행동을 강조하기 위해 '남몰래' 혹은 '은밀히'와 같이 문장의 분위기에 맞춰 의역하는 것이 자연스럽다.",僕の母親は早くに他界し父は若い後妻をもらった。僕にとっても魅力的な女性で、コッソリ彼女の裸を想像してオナニーする毎日。。。しかしとんでも無い提案が義母から持ち上がったので仰天！,"나에게도 매력적인 여성이라서, 코소리 그녀의 알몸을 상상하며 자위하는 매일...","나에게도 매력적인 여성이었기에, 남몰래 그녀의 알몸을 상상하며 자위하는 나날이 이어졌다..."
モヤモヤ,"답답함, 몽글몽글한 불안감, 뿌연 안개 같은 기분",의성어,"마음속에 무언가 걸려 있는 듯한 불쾌하거나 답답한 상태를 나타낸다. 문맥상 주인공이 느끼는 정체 모를 불안이나 심리적 혼란을 의미하므로, 단순히 '모야모야'라고 음차하기보다는 '답답함', '찝찝함', '안개처럼 뿌연 마음' 등으로 의역하여 인물의 심리 상태를 문학적으로 표현해야 한다.",そんな心のモヤモヤを忘れたいからか…彼との行為にますます夢中になっていく、,그런 마음의 모야모야를 잊고 싶어서인지…,그런 마음속의 답답함을 잊고 싶어서인지… 그는 그와의 행위에 점점 더 빠져들었다.
ダメダメ,"엉망진창, 형편없는, 엉망",의성어,"상대방의 실력이나 상태가 기대치에 훨씬 못 미칠 때 사용하는 표현이다. 소설 문맥에서는 단순히 '안 된다'는 의미를 넘어, 상대의 행동이 '엉망이다' 혹은 '형편없다'는 식의 비난이나 놀림의 어조를 담아 자연스럽게 의역해야 한다. 상황에 따라 '하나부터 열까지 다 엉망이다'라는 느낌을 살리는 것이 좋다.",「ええ！掃除も洗濯も先輩の求めてるものに比べてダメダメみたいですねー専業なのにって」,청소도 빨래도 선배가 원하는 것에 비하면 다메다메 같네요.,“에엣! 청소도 빨래도 선배가 원하는 수준에는 한참 못 미치는 엉망진창인 모양이네요? 전업주부라면서요!”
ピカピカ,"반짝반짝, 깨끗하게",의성어,"물건이나 장소가 먼지 하나 없이 아주 깨끗하게 닦여 있는 상태를 나타낸다. 소설 문맥에서는 단순히 '반짝반짝'이라는 의태어를 그대로 쓰기보다, '반짝거릴 정도로 깨끗한', '티 하나 없이 깨끗한' 등 상태를 묘사하는 형용사적 표현으로 의역하는 것이 훨씬 자연스럽다.",そんな…旦那はいつも部屋はピカピカでありがとうって言ってくれてたのに、,"남편은 항상 방이 피카피카하다고 고맙다고 말해줬는데,","그럴 리가… 남편은 항상 방이 반짝거릴 정도로 깨끗하다며 고맙다고 말해줬는데,"
コンコン,똑똑,의성어,"문을 두드리는 가볍고 규칙적인 소리를 나타낸다. 한국어 소설 문맥에서는 '똑똑'이라는 의성어를 사용하거나, 상황에 따라 '노크 소리가 들렸다'와 같이 동작으로 풀어내는 것이 자연스럽다. 기계적으로 '콘콘'이라고 음차하지 않도록 주의한다.",どれくらい経ったのか…コンコンと部屋のドアが叩かれた、,얼마나 지났을까… 콘콘 하고 방 문이 두드려졌다.,"얼마나 시간이 흘렀을까… 똑똑, 하고 방 문을 두드리는 소리가 들렸다."
ギシギシ,끼익끼익,의성어,"나무나 금속 등 딱딱한 물체가 마찰하며 나는 날카롭거나 불길한 소리를 나타낸다. 문맥상 정체 모를 소리에 대한 공포나 의구심을 드러내고 있으므로, 단순히 소리 자체를 묘사하기보다 '끼익끼익거리는 소리' 혹은 '끼익대는 소리'처럼 상황에 맞춰 자연스럽게 의역해야 한다.",むこうから物音がする…ギシギシって…何だ？,저쪽에서 물건 소리가 난다… 기시기시라고… 뭐야?,저쪽에서 무슨 소리가 나… 끼익끼익거리는 소리인데… 대체 뭐야?
モリモリ,"게걸스럽게, 허겁지겁, 복스럽게",의성어,"음식을 아주 힘차고 빠르게, 혹은 양껏 먹는 모양을 나타낸다. 한국어 소설 문맥에서는 단순히 '많이'라는 의미를 넘어, 식욕이 왕성하게 느껴지도록 '게걸스럽게'나 '허겁지겁' 혹은 보기 좋게 먹는다는 의미의 '복스럽게' 등으로 상황에 맞춰 의역하는 것이 자연스럽다. '모리모리'를 그대로 음차하는 것은 피해야 한다.",お母さんの作ったご飯をモリモリと食べるお父さん。,엄마가 만든 밥을 모리모리 먹는 아빠.,엄마가 차려준 밥을 게걸스럽게 먹어 치우는 아빠.
メンゴメンゴ,미안 미안,의성어,"원문의 'メンゴメンゴ'는 '고멘나사이(죄송합니다)'를 귀엽거나 가볍게 변형하여 말하는 유행어적 표현이다. 문맥상 청년이 상대방에게 장난스럽거나 가벼운 태도로 사과하며 상황을 넘기려는 어조이므로, 한국어 소설 문체에서는 상황에 따라 '미안 미안', '미안하다니까' 등으로 자연스럽게 의역해야 한다. 일본어 발음을 그대로 옮긴 '멘고멘고'는 문학적 흐름을 해칠 수 있다.",「メンゴメンゴ」と青年は、私の妻の口内に自分達も早く浸したい他の二人に謝り、,"""멘고멘고""라고 청년은 내 아내의 입안에 자신들도 빨리 담그고 싶어 하는 다른 두 사람에게 사과하며,","""미안, 미안."" 청년은 내 아내의 입안을 자신들도 어서 맛보고 싶어 안달 난 다른 두 사람에게 사과하며,"
ラブラブ,"알콩달콩한, 달콤한, 뜨거운",의성어,"연인 사이의 애정이 넘치는 상태를 나타내는 표현이다. 소설의 문맥상 성적인 행위가 포함되어 있으므로, 단순히 '사랑스러운'이라고 하기보다는 상황의 분위기에 맞춰 '달콤한 정사'나 '뜨거운 관계' 등으로 의역하여 문장의 흐름을 자연스럽게 만드는 것이 중요하다.",ぽかんとする私に、「あーこれ、今朝の映像ではないよ」少年が言う。「この後はもう、二人のラブラブエッチが延々続くから、ちょっと飛ばすね」次に画面を見ると、17時半になっていて、見れば、妻を今正常位で犯しているのは最初に入れていた方の男だ。え…………？？,이 뒤로는 두 사람의 라브라브한 에치가 계속되니까 조금 건너뛸게.,"이 뒤로는 두 사람이 한창 달콤한 정사를 나누는 장면이 계속 이어지니까, 조금 건너뛸게."
ニッコリ,"생긋, 방긋, 싱긋",의성어,"입꼬리를 살짝 올리며 부드럽게 또는 의미심장하게 웃는 모양을 나타낸다. 문맥상 옆의 청년이 주인공의 깨달음을 확인시켜 주듯 여유롭고 기분 나쁘지 않게(혹은 상황을 즐기며) 미소 짓는 장면이므로, 상황의 분위기에 따라 '생긋' 혹은 '싱긋'으로 의역하는 것이 자연스럽다. '니코리'라는 발음을 그대로 옮기는 것은 피해야 한다.",画面に映った時計をふと見て思う。時間は9時40分……今、妻は四つん這いで、男の腰振りの激しいためか、上半身は床に跪くようになっている。そんな妻のことを容赦なく何度も激しく突く男。妻の、大きさのそこそこの乳房も、このように……と思える速度で揺さぶられている。……これは、一番最初に見たシーン、か。隣の青年がニッコリとそうだよ、と微笑む。,옆의 청년이 니코리와 그렇게 말하며 미소 짓는다.,옆의 청년이 그렇다는 듯 생긋 미소 지었다.
ヨチヨチ,비틀비틀,의성어,"발걸음이 불안정하여 제대로 걷지 못하고 조심스럽게, 혹은 힘없이 걷는 모양을 나타낸다. 문맥상 신체적 제약이나 상태로 인해 중심을 잡지 못하는 상황이므로, 단순히 '아장아장' 같은 귀여운 느낌보다는 '비틀비틀'이나 '휘청거리며'와 같이 불안정한 움직임을 강조하여 소설적으로 표현하는 것이 자연스럽다.",「浣腸されて感じている」のだ。〝夫以外の男に調教された淫らな自分〟にＭ女として感じているのか〝エネマシリング〟にアヌスで感じているのか、それとも〝浣腸による排泄感〟に直腸で感じているのか・・・もうすでに限界は超えているだろう。洗面器に上手く全てを排泄させる自信がなかった。妻を立たせその手にゴム球の付いたチューブと浣腸器を外したチューブを持たせ肩を押すよう２人でバスルームに向かった。足元の心許ないヨチヨチ歩きでバスタブの前まで辿り着いた。ユニットバスなら大小便で汚しても洗い流せるし換気扇が付いているので悪臭がこもるのもある程度は軽減出来る。妻の口からどんな言葉が飛び出るか確かめるため猿轡を外した。紐の跡が赤く口の両側に残っている。２本のチューブを妻から奪い、換気扇と給湯のスイッチを入れ後ろ向きに立たせバスタブに両手を着かせた。ポルノ雑誌に載っている立後背位を取らせた。チューブを下に引っ張ると妻も腰を下ろし大便をする恰好になった。,발밑의 요치요치 걸음으로 욕조 앞까지 도착했다.,발밑이 불안한 듯 비틀거리며 걷는 걸음으로 욕조 앞까지 다다랐다.
ジージー,"징징, 윙윙",의성어,"전기 모터나 기계가 돌아가는 소리를 나타내는 의성어다. 문맥상 로터(진동기)의 스위치가 켜지며 발생하는 소음이므로, 소설적 허용을 더해 기계적인 느낌을 주는 '징징'이나 진동의 느낌을 살린 '윙윙'으로 번역하는 것이 자연스럽다. 단순히 '지지'라고 음절을 끊어 직역하기보다 상황의 긴박함이나 분위기에 맞춰 의역해야 한다.",妻はアクメに達していないだろうし男性も射精を終えていない。余程大事な用事なのだろう、妻は男性に『今夜はもう・・・』と話しかけると男性は【急用だ帰る、また今度だ】『今度って？』【都合の良い時に連絡してくれ、職場には電話するなよ】『はい、分かりました』妻が立ち上がってスリッパの音がした時に弾みでローターのスイッチが入ったのだろうかくもったモーターの音がジージーと鳴り始め妻が小さな声をあげた。コマンダーが床を転がる音がしてモーターの音が止まった。妻は直腸にローターをくわえたままだったのだ。キスを交わす音がして男性は靴を履き、自分の携帯でタクシーを呼んでから部屋を出て行った。暫くしてマンションの玄関にタクシーが着き男性は乗り込んで駅の方に走り去っていった。見上げるとカーテンが少しだけ開けられ室内の光が漏れている。妻は男の帰るのを黙って見送っていた。,모터 소리가 지지하고 울리기 시작했다.,모터 소리가 징징거리며 울리기 시작하자 아내가 작은 신음을 내뱉었다.
